Audit Reference Number,VAR-20241007-TW-05A01-1
Audited Facility,FAB6
Overall Audit Score,200.0/200
Disclaimer,"To the knowledge of RBA, the APSCA number listed is accurate as of the date hereof. Listing of the APSCA number
herein is not in any way an endorsement by RBA of APSCA. RBA is not an affiliate of APSCA, and RBA is not liable
for any losses, expenses or damages of any nature, including, without limitation, special, incidental, punitive, direct,
indirect or consequential damages or lost income or profits, resulting from or arising out of reliance or use of the APSCA
number."
Overall Score,Conformance,Risk of NC,Minor NC,Major NC,Priority NC,"Opportunity for
Improvement","Total Scored
Questions","Not Applicable
Questions"
200.0,90,0,0,0,0,0,93,3
Audit Information,
Audit ID,G-AU-10012994
QC Completed Date,10/22/2024
Audit Start Date,10/07/2024
Closing Meeting Date,10/08/2024
Audit Type,Initial Audit
Audit Firm,TUV-Rheinland
Audit Category,VAP
VAP Version,RBA Protocol 8.0 - Jan 2024
Auditor Information,"Auditor-49, Auditor-73"
Facility Information,
Company Name,Winbond Electronics Corporation
Facility Name,FAB6
RBA Facility ID,G-FA-10002097
Facility Address,"No. 8, Keya 1st Rd.,Daya Dist., CTSP
Taichung City, 428"
Facility Country,Chinese Taipei
Facility Point Of Contact,yhlo@winbond.com
Total Number Of Workers,319
,
,"0%
Priority"
Section,"Section
Score",Conformance,Risk of NC,Minor of NC,"Major of
NC",Priority of NC,"Opportunity for
Improvement","Total scored
questions","Non applicable
questions"
A) LABOR,200.0,27,0,0,0,0,0,29,2
"B) HEALTH AND
SAFETY",200.0,23,0,0,0,0,0,24,1
C) ENVIRONMENT,200.0,17,0,0,0,0,0,17,0
D) ETHICS,200.0,16,0,0,0,0,0,16,0
"E) SUPPLY CHAIN
MANAGEMENT",200.0,7,0,0,0,0,0,7,0
,,,,,
#,Audit Code,Start Date,Audit Type,Category,Score
,,,Initial Audit,,
,,,Initial Audit,,
,,,Initial Audit,,
,,,Initial Audit,,
,,,Initial Audit,,
A) LABOR,
A1) PROHIBITION OF FORCED LABOR,
Question #,VAP-A1.1
Question Text,"Forced labor in any form, including but not limited to bonded (including debt bondage) or indentured labor, involuntary or
exploitative prison labor, slavery, or trafficking of persons, is not permitted."
Rating,Conformance
Conclusion,"Forced labor in any form, including bonded (including debt bondage) or indentured labor, involuntary or exploitative prison
labor, slavery, or trafficking of persons, is not permitted."
Data points,"* Site observation: a) Workers move freely when needed to access basic liberties (no systems for unreasonable restrictions in
place, no toilet passes). b) Workers are free to leave the Auditee location or dormitory when not engaged in work.
* Record review: 20 out of 20 Personnel files reveal: a) Termination notice period is not stricter than one month. b) Terminating
employment is voluntary with no explicit threat of punishment, fines, violence, or withholding of wages. c) All work is
voluntary. d) No fees and penalties are charged to the worker. e) Prohibited fees are not permitted under any circumstances. f) No
personal loans exist. g) No education loans exist. h) All overtime is voluntary. i) No foreign migrant workers and no internal
migrant workers is used.
* Record review: 20 out of 20 entry and leave records for the period October 2022 to September 2024 reveal: a) no restrictions on
movement.
* Record review: 20 out of 20 payroll records for the period October 2022 to September 2024 reveal: a) Terminating employment
is voluntary with no explicit threat of punishment, fines, violence, or withholding wages. b) Prohibited fees are not permitted
under any circumstances. c) No fees returned as there are no fees allowed. d) No personal loans exist. e) No educational loans
exist.
* Record review: 20 out of 20 working hour records in each month of the period October 2022 to September 2024 reveal: a)
Termination notice period is not stricter than 1 month. b) All work is voluntary. c) All overtime is voluntary. d) No form of non-
voluntary labor.
* Record review: 10 out of 10 grievance records covering the period October 2022 to September 2024 reveal: a) Termination
notice period is not stricter than 1 month. b) Terminating employment is voluntary with no explicit threat of punishment, fines,
violence, or withholding of wages. c) All work is voluntary. d) No personal loans exist. e) No education loans exist. f) No fees
returned as there are no fees allowed. g) No personal loans exist. h) No educational loans exist. i) All overtime is voluntary. j) No
form of non-voluntary labor.
* Management interview: Ms. Ching-Wen PAN / HR Department Senior Professional Manager and Ms. Grace LO / TQC
Department Senior Technology Manager confirm the audit observations.
* Worker interview: 20 out of 20 workers (no foreign migrant workers and no internal migrant workers) confirm the audit
observations.
* Supporting evidence reference(s): N/A"
,
Question #,VAP-A1.2
Question Text,"Terms and conditions of employment are provided in writing and in their native language, or a language the worker can
understand, before employment (foreign and internal migrant workers: before leaving their home country/region) and the key
terms and conditions of employment are explained verbally in a language workers can understand, so workers understand what
the terms and conditions of employment state."
Rating,Conformance
Conclusion,"Terms and conditions of employment are provided in writing and in their native language, or a language the worker can
understand, before employment (foreign migrant workers: before leaving their home country/region) and the key terms and
conditions of employment are explained verbally in a language workers can understand, so workers understand what the terms
and conditions of employment state. No foreign migrant workers and no internal migrant workers."
Data points,"* Record review: 20 out of 20 local worker Employment Terms and Conditions show: a) Workers are informed prior to
employment of the key employment terms and conditions in writing in their native language. b) Terms and conditions of
employment state that workers can resign without penalty if reasonable notice is given. c) All work shall be voluntary.
* Record review: Foreign or internal migrant worker Employment Terms and Conditions are not available as no foreign migrant
workers and no internal migrant workers are recruited.
* Record review: 20 out of 20 proof of communication records covering the period October 2023 to September 2024
demonstrate: a) key components of the employment conditions are communicated to workers in a language they can understand.
b) Nature of work. c) Working hours, Days off and holidays. d) Entitlements. e) Benefits (housing, transportation, uniforms). f)
What fees will the worker be charged and the amount. g) Wages and wage deductions (including all components of social
insurance) and how these are calculated. h) Other non-legally required benefits provided (insurances).
* Record review: 20 out of 20 Personnel files include: a) Leaving conditions. b) End of contracts details. c) No foreign migrant
workers and no internal migrant workers.
* Management interview: Ms. Ching-Wen PAN / HR Department Senior Professional Manager and Ms. Grace LO / TQC
Department Senior Technology Manager confirm the audit observations.
* Worker interview: 20 out of 20 workers (no foreign migrant workers and no internal migrant workers) confirm the audit
observations.
* Supporting evidence reference(s): N/A"
,
Question #,VAP-A1.3
Question Text,"The worker's government-issued identification and personal documentation originals are not held by their employer, agents and
sub-agents."
Rating,Conformance
Conclusion,The worker’s government-issued identification and personal documentation originals are not held by the employer.
